P(coast|down the) = 1.011660
P(the|down) = 1.011525
P(hiatus|during a) = 1.011660
P(a|during) = 1.011525
P(as|early 1530s) = 1.011660
P(the|early in) = 1.011660
P(in|early) = 0.505763
P(under|east indies) = 1.011660
P(indies|east) = 1.011525
P(pinos|either point) = 1.011660
P(point|either) = 1.011525
P(and|el salvador) = 1.011660
P(salvador|el) = 1.011525
P(his|elder son) = 1.011660
P(son|elder) = 1.011525
P(was|empire he) = 1.011660
P(he|empire) = 1.011525
P(islas|en las) = 1.011660
P(las|en) = 1.011525
P(the|end of) = 1.011660
P(of|end) = 1.011525
P(by|enga o) = 1.011660
P(o|enga) = 1.011525
P(bay|english smoke) = 1.011660
P(smoke|english) = 1.011525
P(bay|entered monterey) = 1.011660
P(waters|entered uncharted) = 1.011660
P(uncharted|entered) = 0.505763
P(frequently|entrance is) = 1.011660
P(san|entrance to) = 1.011660
P(to|entrance) = 0.505763
P(which|esperan a) = 0.505830
P(a|esperan) = 1.011525
P(explore|european to) = 1.011660
P(to|european) = 1.011525
P(requested|evaluated and) = 1.011660
P(and|evaluated) = 1.011525
P(stepped|eve cabrillo) = 1.011660
P(cabrillo|eve) = 1.011525
P(columbia|even the) = 1.011660
P(the|even) = 1.011525
P(the|eventually become) = 1.011660
P(become|eventually) = 1.011525
P(be|evidence must) = 1.011660
P(must|evidence) = 1.011525
P(portugal|exists in) = 1.011660
P(in|exists) = 1.011525
P(have|expedition may) = 1.011660
P(the|expedition recorded) = 1.011660
P(point|expedition saw) = 1.011660
P(coming|expedition sighted) = 1.011660
P(the|expedition up) = 1.011660
P(lost|expedition was) = 1.011660
P(was|expedition) = 0.168588
P(day|explore present) = 1.011660
P(present|explore) = 1.011525
P(named|explored and) = 1.011660
P(and|explored) = 1.011525
P(leader|explorer a) = 1.011660
P(known|explorer best) = 1.011660
P(best|explorer) = 0.505763
P(the|extent of) = 1.011660
P(of|extent) = 1.011525
P(s|ez portugu) = 1.011660
P(portugu|ez) = 1.011525
P(the|facts about) = 1.011660
P(about|facts) = 1.011525
